Transaction_ID,Day_name,Brand,Units_Sold,Price_Per_Unit,Customer_Name,Customer_Age,City,Payment_Method,Customer_Ratings,Mobile_Model,Sales_Date
23,Friday,Vivo,5,59765.73,Mariam Paracha,20,Multan,Credit Card,5,Vivo S1,10/15/2021
24,Saturday,Xiaomi,4,28160.75,Maryam Gondal,42,Karachi,Cash,5,Redmi Note 10,10/16/2021
25,Saturday,OnePlus,7,38064.92,Sumera Talpur,50,Islamabad,Easypaisa,2,OnePlus Nord,10/16/2021
26,Saturday,Samsung,6,26367.63,Waqas Farooq,57,Islamabad,Easypaisa,5,Galaxy Note 20,10/16/2021
27,Sunday,Samsung,4,37813.09,Iqra Qureshi,34,Islamabad,Cash,4,Galaxy A51,10/17/2021
28,Sunday,OnePlus,2,63270.28,Fozia Leghari,31,Abbottabad,JazzCash,4,OnePlus 9,10/17/2021
29,Sunday,Xiaomi,1,37307.45,Zainab Raza,54,Islamabad,Cash,4,Redmi 9,10/17/2021
30,Monday,Vivo,4,43354.72,Usman Mengal,40,Islamabad,Cash,5,Vivo Y51,10/18/2021
31,Monday,Samsung,4,34238.58,Haris Raja,41,Sukkur,Bank Transfer,2,Galaxy Note 20,10/18/2021
32,Monday,Apple,1,37607.03,Hina Gillani,46,Karachi,Credit Card,5,iPhone SE,10/18/2021
33,Monday,Apple,6,10910.45,Tahir Aziz,55,Sargodha,Easypaisa,3,iPhone SE,10/18/2021
34,Tuesday,OnePlus,4,27024.73,Kamran Baloch,44,Karachi,Easypaisa,5,OnePlus 9,10/19/2021
35,Tuesday,Xiaomi,1,36194.9,Haris Paracha,55,Quetta,JazzCash,4,Redmi Note 10,10/19/2021
36,Tuesday,Samsung,1,48027.82,Aisha Nawaz,57,Multan,Easypaisa,3,Galaxy S21,10/19/2021
37,Wednesday,Xiaomi,1,37003.12,Zaid Pasha,40,Sahiwal,JazzCash,3,Redmi 9,10/20/2021
38,Wednesday,Samsung,8,30269.02,Ahsan Cheema,48,Sukkur,Credit Card,5,Galaxy Note 20,10/20/2021
39,Wednesday,OnePlus,8,33285.92,Khalid Kazmi,53,Islamabad,JazzCash,5,OnePlus 8T,10/20/2021
40,Thursday,OnePlus,2,24537.6,Imran Tiwana,34,Islamabad,Easypaisa,5,OnePlus Nord,10/21/2021
41,Thursday,Apple,7,65469.66,Sohail Rana,54,Islamabad,Easypaisa,5,iPhone 11,10/21/2021
42,Thursday,Xiaomi,8,41304.59,Nimra Wattoo,20,Karachi,JazzCash,2,Mi 11,10/21/2021
43,Friday,Apple,8,10804.57,Ali Malik,53,Sukkur,Easypaisa,5,iPhone SE,10/22/2021
44,Friday,Xiaomi,7,11166.78,Saad Ansari,22,Sargodha,JazzCash,5,Mi 11,10/22/2021
45,Friday,Apple,5,68377.7,Adnan Tarar,32,Faisalabad,Easypaisa,5,iPhone SE,10/22/2021
46,Saturday,Vivo,1,23287.05,Atif Chaudhry,23,Gujrat,Cash,5,Vivo V20,10/23/2021
47,Saturday,Vivo,9,58336.5,Arooj Durrani,27,Islamabad,Credit Card,5,Vivo Y51,10/23/2021
48,Saturday,Vivo,7,13496.52,Atif Gondal,49,Gujranwala,Easypaisa,5,Vivo S1,10/23/2021
49,Saturday,Vivo,2,65269.76,Sohail Mirza,40,Karachi,Easypaisa,5,Vivo Y51,10/23/2021
50,Sunday,Samsung,6,62465.02,Saad Khattak,34,Gujrat,Easypaisa,2,Galaxy Note 20,10/24/2021
51,Sunday,Vivo,2,44265.59,Sajid Wattoo,37,Bahawalpur,Bank Transfer,5,Vivo V20,10/24/2021
52,Sunday,OnePlus,1,10539.92,Muhammad Raza,58,Islamabad,Easypaisa,5,OnePlus Nord,10/24/2021
53,Monday,OnePlus,7,25468.65,Sajid Butt,32,Peshawar,JazzCash,5,OnePlus 9,10/25/2021
54,Monday,Samsung,2,34409.36,Kiran Iqbal,39,Gujranwala,Easypaisa,2,Galaxy Note 20,10/25/2021
55,Monday,Vivo,2,37603.85,Naveed Siddiqui,23,Karachi,Cash,2,Vivo Y51,10/25/2021
56,Monday,Vivo,5,27860.73,Sadia Ahmed,21,Islamabad,Cash,5,Vivo Y51,10/25/2021
57,Tuesday,Vivo,5,11976.87,Adnan Khan,40,Multan,Credit Card,5,Vivo S1,10/26/2021
58,Tuesday,Apple,7,45407.64,Umer Ansari,36,Islamabad,JazzCash,4,iPhone 12,10/26/2021
59,Tuesday,Xiaomi,1,41449.28,Naila Riaz,48,Quetta,Credit Card,5,Redmi 9,10/26/2021
60,Tuesday,Apple,8,26980.04,Ali Bhatti,20,Quetta,Easypaisa,2,iPhone 11,10/26/2021
61,Wednesday,Xiaomi,3,12278.56,Mudassar Malik,45,Karachi,Easypaisa,4,Redmi Note 10,10/27/2021
62,Wednesday,Vivo,4,69675.65,Adnan Bhutto,20,Gujrat,Cash,5,Vivo Y51,10/27/2021
63,Wednesday,Vivo,9,38919.17,Maryam Syed,31,Sheikhupura,Credit Card,5,Vivo V20,10/27/2021
64,Wednesday,Apple,4,55360.25,Asad Bhutto,35,Sukkur,Easypaisa,4,iPhone SE,10/27/2021
65,Thursday,Apple,5,37138.84,Hamza Lodhi,44,Quetta,Easypaisa,5,iPhone SE,10/28/2021
66,Thursday,Xiaomi,7,12590.22,Saima Khattak,27,Sukkur,JazzCash,4,Redmi 9,10/28/2021
67,Thursday,OnePlus,4,28576.04,Danish Abbasi,32,Sialkot,Easypaisa,5,OnePlus Nord,10/28/2021
68,Friday,Xiaomi,1,29206.61,Naila Qureshi,36,Quetta,Credit Card,5,Redmi 9,10/29/2021
69,Friday,Apple,9,60301.17,Saima Abbasi,26,Faisalabad,Cash,5,iPhone 12,10/29/2021
70,Friday,Apple,4,49253.8,Aamir Leghari,21,Islamabad,Cash,5,iPhone 12,10/29/2021
71,Friday,Samsung,9,26525.79,Omar Talpur,32,Bahawalpur,Easypaisa,3,Galaxy Note 20,10/29/2021
72,Saturday,Apple,6,68064.4,Iqra Qureshi,25,Hyderabad,Easypaisa,4,iPhone 12,10/30/2021
73,Saturday,Samsung,1,29292.51,Sadia Syed,18,Islamabad,Easypaisa,5,Galaxy Note 20,10/30/2021
74,Saturday,OnePlus,3,69894.04,Majid Kazmi,24,Islamabad,JazzCash,4,OnePlus Nord,10/30/2021
75,Sunday,Xiaomi,2,69769.82,Aisha Ahmed,48,Karachi,Easypaisa,3,Redmi Note 10,10/31/2021
76,Sunday,Xiaomi,9,21472.63,Zaid Lodhi,35,Karachi,Easypaisa,5,Redmi Note 10,10/31/2021
77,Sunday,Samsung,1,28764.47,Ayesha Naqvi,29,Karachi,JazzCash,3,Galaxy A51,10/31/2021
78,Sunday,Xiaomi,9,39162.65,Rimsha Qureshi,47,Faisalabad,Credit Card,2,Redmi 9,10/31/2021
79,Monday,Apple,9,49846.04,Fozia Khoso,50,Peshawar,JazzCash,3,iPhone SE,11/1/2021
80,Monday,Vivo,8,41682.85,Hina Chaudhry,24,Faisalabad,Cash,5,Vivo Y51,11/1/2021
81,Monday,Samsung,8,68166.49,Tariq Riaz,45,Sheikhupura,JazzCash,5,Galaxy Note 20,11/1/2021
82,Monday,Xiaomi,1,53439.35,Usman Mengal,20,Gujranwala,Bank Transfer,5,Redmi Note 10,11/1/2021
83,Tuesday,Samsung,8,22722.69,Danish Abbasi,23,Islamabad,Credit Card,4,Galaxy A51,11/2/2021
84,Tuesday,Samsung,3,16305.85,Samina Hussain,48,Islamabad,Credit Card,2,Galaxy S21,11/2/2021
85,Tuesday,Vivo,7,51304.08,Aisha Chaudhry,55,Islamabad,Easypaisa,4,Vivo S1,11/2/2021
86,Tuesday,Apple,1,19507.15,Hamza Butt,32,Lahore,JazzCash,5,iPhone SE,11/2/2021
87,Wednesday,Samsung,1,57260.61,Ahsan Leghari,24,Hyderabad,Credit Card,5,Galaxy A51,11/3/2021
88,Wednesday,Xiaomi,5,28662.2,Nimra Gondal,47,Islamabad,Cash,3,Redmi 9,11/3/2021
89,Wednesday,OnePlus,5,29613.6,Shazia Khoso,44,Islamabad,Easypaisa,5,OnePlus Nord,11/3/2021
90,Wednesday,Samsung,8,10647.9,Nasir Hashmi,34,Islamabad,Bank Transfer,5,Galaxy Note 20,11/3/2021
91,Thursday,Samsung,7,52060.68,Naila Riaz,35,Mardan,Cash,5,Galaxy S21,11/4/2021
92,Thursday,Vivo,8,16796.19,Amber Syed,39,Lahore,Credit Card,5,Vivo S1,11/4/2021
93,Thursday,Apple,6,56372.83,Irfan Kazmi,43,Sialkot,Easypaisa,3,iPhone 11,11/4/2021
94,Thursday,OnePlus,6,39512.07,Shabana Wattoo,44,Karachi,Cash,4,OnePlus 8T,11/4/2021
95,Friday,Xiaomi,2,57056.79,Nadia Qureshi,57,Karachi,Bank Transfer,2,Redmi 9,11/5/2021
96,Friday,OnePlus,6,45035.59,Mariam Siddiqui,41,Bahawalpur,Cash,4,OnePlus Nord,11/5/2021
97,Friday,Xiaomi,5,14946,Iqra Rana,25,Gujrat,Easypaisa,3,Mi 11,11/5/2021
98,Friday,Apple,3,55939.14,Afshan Durrani,38,Rawalpindi,JazzCash,5,iPhone SE,11/5/2021
99,Saturday,Xiaomi,6,14187.97,Misbah Raja,46,Hyderabad,JazzCash,4,Mi 11,11/6/2021
100,Saturday,Vivo,8,38722.1,Nadia Gillani,38,Sheikhupura,Cash,2,Vivo S1,11/6/2021
101,Saturday,Vivo,9,20340.95,Babar Farooq,20,Sialkot,Easypaisa,3,Vivo Y51,11/6/2021
102,Saturday,Vivo,1,55140.11,Talha Kazmi,48,Sukkur,Bank Transfer,5,Vivo S1,11/6/2021
103,Sunday,Vivo,3,64695.47,Ayesha Farooq,44,Abbottabad,Easypaisa,3,Vivo Y51,11/7/2021
104,Sunday,OnePlus,3,43247.57,Tayyaba Qureshi,44,Sheikhupura,Credit Card,5,OnePlus 9,11/7/2021
105,Sunday,Apple,8,41628.84,Kashif Naqvi,26,Bahawalpur,Cash,2,iPhone SE,11/7/2021
106,Sunday,Xiaomi,1,55837.79,Kashif Tiwana,50,Karachi,Easypaisa,3,Redmi 9,11/7/2021
107,Monday,Xiaomi,5,10304.73,Haris Paracha,50,Sialkot,Credit Card,5,Mi 11,11/8/2021
108,Monday,Vivo,3,65065.52,Shafiq Aziz,43,Islamabad,Credit Card,5,Vivo S1,11/8/2021
109,Monday,Vivo,2,21846.93,Waqas Baloch,45,Sargodha,Easypaisa,3,Vivo V20,11/8/2021
110,Tuesday,Samsung,8,69047.13,Bushra Chaudhry,48,Sheikhupura,Easypaisa,5,Galaxy S21,11/9/2021
111,Tuesday,Apple,3,54175.24,Imran Sheikh,18,Gujranwala,Cash,3,iPhone 11,11/9/2021
112,Tuesday,OnePlus,7,56455.07,Imran Naqvi,37,Sheikhupura,Cash,5,OnePlus 8T,11/9/2021
113,Wednesday,Xiaomi,1,49372.18,Mariam Siddiqui,29,Islamabad,Bank Transfer,3,Redmi 9,11/10/2021
114,Wednesday,Samsung,6,38299.79,Fozia Leghari,34,Quetta,Cash,5,Galaxy Note 20,11/10/2021
115,Wednesday,Samsung,3,44297.66,Kamran Bhutto,32,Karachi,Easypaisa,4,Galaxy S21,11/10/2021
116,Wednesday,Xiaomi,8,12784.17,Javeria Aziz,51,Islamabad,Bank Transfer,3,Redmi Note 10,11/10/2021
117,Thursday,OnePlus,6,47437.57,Adnan Durrani,33,Islamabad,Credit Card,5,OnePlus Nord,11/11/2021
118,Thursday,Samsung,2,47565.89,Zaid Gondal,21,Islamabad,Credit Card,3,Galaxy S21,11/11/2021
119,Thursday,Samsung,6,63472.05,Yasmin Durrani,25,Sheikhupura,Easypaisa,5,Galaxy Note 20,11/11/2021
120,Thursday,Apple,7,40339.38,Saad Tiwana,51,Faisalabad,JazzCash,2,iPhone SE,11/11/2021
121,Friday,OnePlus,5,14628.66,Khalid Farooq,42,Multan,JazzCash,3,OnePlus Nord,11/12/2021
122,Friday,Samsung,3,28371.76,Umer Tiwana,32,Rawalpindi,Cash,5,Galaxy A51,11/12/2021
123,Friday,OnePlus,4,49337.76,Muneeba Naqvi,45,Karachi,Credit Card,5,OnePlus 8T,11/12/2021
124,Friday,Xiaomi,4,24355.53,Misbah Malik,26,Islamabad,Credit Card,2,Redmi 9,11/12/2021
125,Saturday,Vivo,6,26831.67,Farhan Wattoo,19,Islamabad,Cash,3,Vivo S1,11/13/2021
126,Saturday,Samsung,1,59228.14,Zeeshan Nawaz,34,Sargodha,Credit Card,4,Galaxy S21,11/13/2021
127,Saturday,Apple,4,45059.18,Faisal Tarar,27,Islamabad,Cash,5,iPhone 12,11/13/2021
128,Sunday,Xiaomi,4,40511.65,Shabana Raja,26,Gujrat,Credit Card,5,Redmi 9,11/14/2021
129,Sunday,OnePlus,1,29107.12,Hina Gillani,48,Sargodha,Credit Card,5,OnePlus 8T,11/14/2021
130,Sunday,Xiaomi,9,53855.68,Waqas Tiwana,19,Faisalabad,Credit Card,5,Mi 11,11/14/2021
131,Sunday,Samsung,4,27263.11,Gulnaz Mirza,41,Mardan,Cash,3,Galaxy Note 20,11/14/2021
132,Monday,OnePlus,7,54223.81,Faisal Nawaz,36,Bahawalpur,Credit Card,5,OnePlus 8T,11/15/2021
133,Monday,Vivo,3,14206.09,Yasmin Aziz,34,Sahiwal,Credit Card,3,Vivo V20,11/15/2021
134,Monday,Xiaomi,3,61872.48,Asad Zardari,27,Karachi,Bank Transfer,4,Mi 11,11/15/2021
135,Tuesday,Samsung,8,39973.99,Zeeshan Nawaz,45,Karachi,Credit Card,3,Galaxy Note 20,11/16/2021
136,Tuesday,Apple,8,36310.48,Fozia Leghari,55,Islamabad,Easypaisa,3,iPhone SE,11/16/2021
137,Tuesday,OnePlus,1,46661.4,Ahsan Tarar,45,Lahore,Credit Card,3,OnePlus 8T,11/16/2021
138,Wednesday,Xiaomi,2,47451.52,Aamir Naqvi,18,Islamabad,Credit Card,5,Mi 11,11/17/2021
139,Wednesday,Xiaomi,8,17922.11,Yasmin Khattak,20,Karachi,JazzCash,2,Mi 11,11/17/2021
140,Wednesday,Vivo,1,55374.02,Aroha Leghari,32,Karachi,JazzCash,5,Vivo Y51,11/17/2021
141,Thursday,Vivo,8,26555.7,Laiba Rana,27,Peshawar,Cash,5,Vivo V20,11/18/2021
142,Thursday,Apple,8,64297.71,Yasmin Ahmed,38,Hyderabad,Cash,5,iPhone SE,11/18/2021
143,Thursday,Apple,2,59071.04,Samina Tiwana,54,Multan,Easypaisa,5,iPhone 12,11/18/2021
144,Friday,Samsung,4,30775.96,Hafsa Raza,32,Sheikhupura,Bank Transfer,5,Galaxy A51,11/19/2021
145,Friday,Samsung,6,58464.36,Hassan Bhatti,40,Karachi,Cash,5,Galaxy A51,11/19/2021
146,Friday,Apple,9,31383.43,Salman Mengal,31,Karachi,Cash,5,iPhone SE,11/19/2021
147,Saturday,Apple,8,16056.86,Arooj Javed,32,Sialkot,Cash,5,iPhone SE,11/20/2021
148,Saturday,OnePlus,8,67713.29,Talha Nawaz,27,Sukkur,JazzCash,3,OnePlus 9,11/20/2021
149,Saturday,Vivo,7,49156.12,Muhammad Bhatti,26,Islamabad,Bank Transfer,5,Vivo S1,11/20/2021
150,Saturday,Samsung,9,37365.97,Asad Zardari,56,Islamabad,Easypaisa,4,Galaxy Note 20,11/20/2021
151,Sunday,Vivo,2,33866.4,Sajid Tarar,22,Bahawalpur,Bank Transfer,5,Vivo Y51,11/21/2021
152,Sunday,Vivo,3,29482.32,Sadia Pasha,42,Sahiwal,Bank Transfer,5,Vivo S1,11/21/2021
153,Sunday,Apple,8,68886.86,Hamza Hussain,59,Rawalpindi,JazzCash,5,iPhone 11,11/21/2021
154,Sunday,OnePlus,6,18084.84,Javeria Gujjar,43,Islamabad,Easypaisa,5,OnePlus 8T,11/21/2021
155,Monday,Xiaomi,9,28888.3,Hassan Sheikh,25,Sukkur,Credit Card,5,Redmi 9,11/22/2021
156,Monday,OnePlus,4,39129.86,Sumera Syed,39,Sahiwal,Credit Card,5,OnePlus Nord,11/22/2021
157,Monday,OnePlus,8,38679.97,Sohail Hashmi,42,Islamabad,Cash,5,OnePlus Nord,11/22/2021
158,Monday,Vivo,3,38281.99,Maryam Kazmi,29,Sheikhupura,Credit Card,5,Vivo V20,11/22/2021
159,Tuesday,OnePlus,3,20547.03,Talha Akhtar,26,Multan,Credit Card,3,OnePlus Nord,11/23/2021
160,Tuesday,Samsung,8,18695.95,Haris Javed,27,Hyderabad,Easypaisa,4,Galaxy A51,11/23/2021
161,Tuesday,Vivo,5,25286.06,Misbah Riaz,27,Gujrat,Easypaisa,5,Vivo V20,11/23/2021
162,Tuesday,Samsung,3,64871.57,Tooba Tarar,26,Karachi,Credit Card,5,Galaxy Note 20,11/23/2021
163,Wednesday,Xiaomi,1,16783.18,Nadia Qureshi,43,Karachi,Credit Card,3,Redmi Note 10,11/24/2021
164,Wednesday,Vivo,3,55445.51,Amber Sheikh,52,Karachi,Credit Card,5,Vivo Y51,11/24/2021
165,Wednesday,Xiaomi,9,55452.9,Bilal Hussain,44,Sukkur,Cash,5,Redmi Note 10,11/24/2021
166,Wednesday,Vivo,5,58586.22,Rizwan Zardari,48,Islamabad,Easypaisa,5,Vivo S1,11/24/2021
167,Thursday,Apple,2,63196.93,Aroha Malik,36,Islamabad,Credit Card,5,iPhone 12,11/25/2021
168,Thursday,OnePlus,7,25782.17,Laiba Sheikh,55,Karachi,Bank Transfer,5,OnePlus Nord,11/25/2021
169,Thursday,Apple,2,23473.57,Amber Sheikh,23,Peshawar,Credit Card,5,iPhone 11,11/25/2021
170,Friday,Xiaomi,4,37930.34,Salman Gillani,32,Abbottabad,JazzCash,5,Redmi 9,11/26/2021
171,Friday,OnePlus,7,25905.35,Ahsan Leghari,46,Islamabad,Cash,5,OnePlus 9,11/26/2021
172,Friday,Vivo,4,54058.6,Sadia Naqvi,22,Islamabad,Bank Transfer,5,Vivo V20,11/26/2021
173,Friday,OnePlus,7,48156.37,Fozia Wattoo,31,Hyderabad,Easypaisa,5,OnePlus 8T,11/26/2021
174,Saturday,Samsung,7,62499.26,Hina Farooq,19,Sialkot,Cash,5,Galaxy A51,11/27/2021
175,Saturday,OnePlus,1,14964.3,Talha Nawaz,40,Faisalabad,Cash,5,OnePlus 8T,11/27/2021
176,Saturday,Samsung,6,64905,Salman Raja,36,Lahore,Credit Card,5,Galaxy A51,11/27/2021
177,Saturday,OnePlus,9,27600.92,Muneeba Abbasi,41,Sahiwal,Cash,3,OnePlus Nord,11/27/2021
178,Sunday,Samsung,2,39441.66,Asad Nawaz,37,Islamabad,Cash,5,Galaxy Note 20,11/28/2021
179,Sunday,Xiaomi,3,36316.69,Nadia Siddiqui,44,Karachi,JazzCash,5,Mi 11,11/28/2021
180,Sunday,Apple,5,55618.7,Farhan Baloch,41,Islamabad,Credit Card,4,iPhone SE,11/28/2021
181,Monday,Vivo,9,35220,Laiba Gondal,34,Sheikhupura,Easypaisa,5,Vivo Y51,11/29/2021
182,Monday,OnePlus,4,66613.19,Fozia Syed,42,Islamabad,Credit Card,4,OnePlus Nord,11/29/2021
183,Monday,Apple,1,64152.03,Misbah Raja,48,Peshawar,Easypaisa,3,iPhone 11,11/29/2021
184,Monday,Vivo,4,62329.67,Noor Javed,45,Islamabad,Bank Transfer,5,Vivo Y51,11/29/2021
185,Tuesday,Vivo,6,14275.5,Omar Mirza,45,Multan,Cash,3,Vivo Y51,11/30/2021
186,Tuesday,Samsung,5,61255.48,Fatima Wattoo,39,Hyderabad,Cash,5,Galaxy S21,11/30/2021
187,Tuesday,Xiaomi,1,56898.13,Zaid Khan,22,Islamabad,Credit Card,5,Mi 11,11/30/2021
188,Wednesday,Xiaomi,4,16210.78,Atif Javed,59,Mardan,Credit Card,3,Redmi Note 10,12/1/2021
189,Wednesday,Apple,6,16444.86,Sohail Khattak,25,Faisalabad,Credit Card,3,iPhone SE,12/1/2021
190,Wednesday,Xiaomi,4,16069.83,Fahad Zardari,55,Lahore,Cash,3,Redmi 9,12/1/2021
191,Wednesday,OnePlus,9,10679.96,Sadia Naqvi,45,Mardan,Cash,5,OnePlus 8T,12/1/2021
192,Thursday,Xiaomi,5,42918.06,Shafiq Baig,29,Islamabad,Bank Transfer,5,Redmi Note 10,12/2/2021
193,Thursday,Apple,8,68403.66,Nasir Siddiqui,42,Faisalabad,Easypaisa,5,iPhone SE,12/2/2021
194,Thursday,Xiaomi,9,36321.08,Muhammad Niazi,55,Mardan,Credit Card,5,Redmi Note 10,12/2/2021
195,Friday,OnePlus,5,42445.45,Sumera Naqvi,32,Karachi,Cash,5,OnePlus 9,12/3/2021
196,Friday,Samsung,6,68078.19,Naveed Butt,58,Mardan,Easypaisa,5,Galaxy A51,12/3/2021
197,Friday,Apple,1,25310.93,Atif Javed,51,Islamabad,Credit Card,3,iPhone 12,12/3/2021
198,Friday,Samsung,7,61508.22,Mohsin Paracha,30,Islamabad,Credit Card,4,Galaxy S21,12/3/2021
199,Saturday,Samsung,4,42783.43,Sidra Mirza,25,Karachi,Easypaisa,5,Galaxy A51,12/4/2021
200,Saturday,Samsung,2,44168.59,Shabana Durrani,30,Gujrat,Easypaisa,5,Galaxy Note 20,12/4/2021
201,Saturday,Vivo,5,30590.43,Noor Nawaz,53,Sheikhupura,Easypaisa,5,Vivo Y51,12/4/2021
202,Saturday,Vivo,3,43695.06,Ibrahim Pasha,23,Peshawar,Cash,5,Vivo V20,12/4/2021
203,Sunday,Samsung,6,14388.55,Javeria Ali,55,Rawalpindi,JazzCash,5,Galaxy Note 20,12/5/2021
204,Sunday,Apple,8,55878.61,Nadia Ahmed,49,Gujranwala,Credit Card,4,iPhone SE,12/5/2021
205,Sunday,OnePlus,7,27081.27,Amna Chaudhry,38,Islamabad,Credit Card,5,OnePlus Nord,12/5/2021
206,Monday,OnePlus,3,63256.5,Kashif Tarar,24,Karachi,Easypaisa,5,OnePlus Nord,12/6/2021
207,Monday,Xiaomi,8,32071.04,Fozia Syed,43,Sargodha,Cash,5,Redmi Note 10,12/6/2021
208,Monday,Apple,2,18569.45,Gulnaz Mirza,32,Islamabad,Easypaisa,4,iPhone SE,12/6/2021
209,Tuesday,Vivo,9,51752.89,Sana Tarar,59,Islamabad,Cash,5,Vivo V20,12/7/2021
210,Tuesday,Samsung,4,19874.69,Haris Javed,40,Bahawalpur,JazzCash,5,Galaxy S21,12/7/2021
211,Tuesday,Xiaomi,1,55220.83,Ayesha Khoso,55,Bahawalpur,Credit Card,5,Redmi 9,12/7/2021
212,Wednesday,OnePlus,8,68086.73,Nimra Farooq,58,Islamabad,Credit Card,4,OnePlus Nord,12/8/2021
213,Wednesday,Vivo,7,56773.17,Irfan Siddiqui,32,Faisalabad,Cash,5,Vivo V20,12/8/2021
214,Wednesday,Vivo,5,11346.95,Ayesha Ahmed,57,Gujranwala,JazzCash,4,Vivo S1,12/8/2021
215,Thursday,Samsung,5,45993.15,Nasir Akhtar,33,Karachi,JazzCash,3,Galaxy Note 20,12/9/2021
216,Thursday,OnePlus,7,51724.64,Aroha Kazmi,49,Gujrat,Credit Card,5,OnePlus 9,12/9/2021
217,Thursday,Apple,5,59527.5,Hamza Hussain,54,Lahore,Credit Card,5,iPhone 12,12/9/2021
218,Friday,Vivo,8,13360.14,Mehwish Siddiqui,35,Islamabad,Easypaisa,5,Vivo S1,12/10/2021
219,Friday,Samsung,6,38806.47,Hafsa Aziz,37,Mardan,Cash,4,Galaxy A51,12/10/2021
220,Friday,Apple,5,42122.25,Yasmin Ahmed,19,Mardan,Credit Card,4,iPhone 12,12/10/2021
221,Saturday,OnePlus,9,20147.49,Faisal Ansari,40,Faisalabad,Bank Transfer,4,OnePlus 9,12/11/2021
222,Saturday,Vivo,2,29346.99,Nadia Gondal,47,Bahawalpur,JazzCash,5,Vivo V20,12/11/2021
223,Saturday,Apple,1,36413.3,Zaid Gondal,20,Sheikhupura,Credit Card,5,iPhone SE,12/11/2021
224,Sunday,Apple,8,59992.58,Ahsan Cheema,56,Sukkur,JazzCash,5,iPhone 12,12/12/2021
225,Sunday,Apple,3,65764.45,Aisha Nawaz,18,Islamabad,Cash,5,iPhone 11,12/12/2021
226,Sunday,Vivo,7,47705.37,Ayesha Syed,58,Lahore,JazzCash,4,Vivo Y51,12/12/2021
227,Monday,Vivo,8,33696.71,Tariq Pasha,39,Islamabad,Bank Transfer,3,Vivo S1,12/13/2021
228,Monday,Xiaomi,6,25241.86,Zeeshan Bhutto,46,Islamabad,Credit Card,5,Redmi Note 10,12/13/2021
229,Monday,OnePlus,9,68928.11,Talha Mirza,31,Islamabad,Cash,4,OnePlus 9,12/13/2021
230,Monday,Samsung,7,68981.2,Shahid Chaudhry,45,Mardan,Cash,5,Galaxy Note 20,12/13/2021
231,Tuesday,Apple,5,65498.62,Rabia Gujjar,38,Sialkot,Easypaisa,4,iPhone 12,12/14/2021
232,Tuesday,Xiaomi,8,57140.15,Tariq Pasha,49,Islamabad,Cash,5,Redmi 9,12/14/2021
